,months_causal,total_months,causality_strength,stability_score
AUDJPY_volume_fract,0,49,[],0.0
DOGE_low,0,49,[],0.0
XLK_high,0,49,[],0.0
XRP_close,0,49,[],0.0
GBPUSD_open,0,49,[],0.0
DOGE_adjusted_close,0,49,[],0.0
AMD_adjusted_close,1,49,[np.int64(2)],0.0
XPDUSD_low,0,49,[],0.0
SSEC.INDX_low,0,49,[],0.0
WMT_volume,0,49,[],0.0
DXY.INDX_low,0,49,[],0.0
DIS_low,0,49,[],0.0
SKEW.INDX_adjusted_close,0,49,[],0.0
VXN.INDX_open,0,49,[],0.0
AUDNZD_high_fract,2,49,"[np.int64(2), np.int64(2)]",1.0
SSEC.INDX_volume,0,49,[],0.0
USDCHF_volume,0,49,[],0.0
OVX.INDX_adjusted_close,0,49,[],0.0
FXAIX_open,0,49,[],0.0
SKEW.INDX_high,0,49,[],0.0
TSLA_adjusted_close,0,49,[],0.0
NDX.INDX_close,0,49,[],0.0
EFA_low,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
HD_volume,0,49,[],0.0
EURAUD_high_fract,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
NVDA_open,0,49,[],0.0
GBPUSD_high_fract,0,49,[],0.0
VIMAX_close,0,49,[],0.0
AUDCAD_high,0,49,[],0.0
USDCAD_close_fract,0,49,[],0.0
CADCHF_low,0,49,[],0.0
HBAR_close,0,49,[],0.0
ETC_volume,0,49,[],0.0
NVDA_volume,0,49,[],0.0
MOVE.INDX_adjusted_close,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
DXY.INDX_adjusted_close,0,49,[],0.0
XOM_high,0,49,[],0.0
NKE_close,2,49,"[np.int64(2), np.int64(2)]",1.0
DIS_adjusted_close,0,49,[],0.0
EURJPY_high,0,49,[],0.0
VWUSX_high,0,49,[],0.0
PG_high,0,49,[],0.0
SOYB_close,0,49,[],0.0
XPDUSD_high,0,49,[],0.0
XPDUSD_close,0,49,[],0.0
CPER_low,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
DJI.INDX_high,0,49,[],0.0
VIMAX_adjusted_close,0,49,[],0.0
OVX.INDX_high,0,49,[],0.0
CORN_open,0,49,[],0.0
LLY_adjusted_close,0,49,[],0.0
USDCAD_open_fract,0,49,[],0.0
GVZ.INDX_adjusted_close,0,49,[],0.0
MOVE.INDX_high,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
CMCSA_close,1,49,[np.int64(2)],0.0
LLY_low,0,49,[],0.0
EURCAD_close_fract,0,49,[],0.0
JPM_open,0,49,[],0.0
AUDJPY_high_fract,0,49,[],0.0
COST_low,0,49,[],0.0
AUDCAD_close_fract,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
COST_open,0,49,[],0.0
AUDCAD_open,0,49,[],0.0
EURAUD_close_fract,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
BNB_close,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
CADCHF_low_fract,0,49,[],0.0
XOM_close,0,49,[],0.0
EURGBP_high_fract,0,49,[],0.0
MSFT_adjusted_close,0,49,[],0.0
GLD_close,0,49,[],0.0
EFA_open,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
NKE_adjusted_close,0,49,[],0.0
VFIAX_adjusted_close,0,49,[],0.0
WMT_adjusted_close,0,49,[],0.0
USDCHF_close,0,49,[],0.0
IVV_volume,0,49,[],0.0
HSI.INDX_open,0,49,[],0.0
UNG_close,0,49,[],0.0
MOVE.INDX_open,0,49,[],0.0
OVX.INDX_low,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
EURAUD_close,0,49,[],0.0
SKEW.INDX_low,0,49,[],0.0
HD_low,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
EURCHF_low,0,49,[],0.0
BLK_high,0,49,[],0.0
XAUUSD_close,0,49,[],0.0
GBPUSD_low_fract,0,49,[],0.0
GBPUSD_open_fract,0,49,[],0.0
GVZ.INDX_open,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
DOGE_high,0,49,[],0.0
HD_high,0,49,[],0.0
AMD_open,0,49,[],0.0
EURAUD_volume,0,49,[],0.0
BCH_volume,0,49,[],0.0
TRX_high,0,49,[],0.0
EURCAD_open_fract,0,49,[],0.0
USDJPY_open_fract,0,49,[],0.0
CHFJPY_volume,0,49,[],0.0
NDX.INDX_volume,0,49,[],0.0
PEP_adjusted_close,0,49,[],0.0
AUDCAD_close,0,49,[],0.0
INTC_open,0,49,[],0.0
BSESN.INDX_open,0,49,[],0.0
UNH_close,0,49,[],0.0
VTI_low,0,49,[],0.0
PEP_close,0,49,[],0.0
XPTUSD_low,1,49,[np.int64(2)],0.0
SLV_low,0,49,[],0.0
IWM_volume,5,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
CADJPY_volume_fract,0,49,[],0.0
IVV_open,0,49,[],0.0
VXD.INDX_adjusted_close,0,49,[],0.0
SOYB_low,2,49,"[np.int64(2), np.int64(2)]",1.0
TRX_volume,0,49,[],0.0
FZROX_adjusted_close,0,49,[],0.0
BTC_volume,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
VOO_volume,0,49,[],0.0
AUDCHF_high,0,49,[],0.0
GOOG_high,5,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
BCH_open,0,49,[],0.0
HD_open,5,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
MA_volume,5,49,"[np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3)]",0.8571428576530612
BTC_adjusted_close,0,49,[],0.0
V_adjusted_close,0,49,[],0.0
COST_high,0,49,[],0.0
SSEC.INDX_adjusted_close,0,49,[],0.0
BLK_adjusted_close,0,49,[],0.0
JPM_volume,0,49,[],0.0
LLY_close,0,49,[],0.0
BLK_low,0,49,[],0.0
VVIX.INDX_low,0,49,[],0.0
AUDCHF_low_fract,0,49,[],0.0
